id,object_ref,category,date,type,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,address,_geom,EGID
3001190574,854424.2e0abf01-dff3-11eb-84f0-005056bdbc06,rent,2021-09-30T14:31:09,,,1100,,,,65,,Hungerbühlerstrasse 1a,St. Gallen,9014,"Hungerbühlerstrasse 1a, 9014 St. Gallen",POINT (9.333701133728027 47.41047668457031),1069079_0
3001101387,1505.06.0340,rent,2021-09-30T14:31:10,,5,1045,,,,82,1986,Rorschacherstrasse 238,St. Gallen,9016,"Rorschacherstrasse 238, 9016 St. Gallen",,
3001337225,6811.15.0101,rent,2021-09-30T14:31:10,,1,1440,,,,88,2020,Bernhardswiesstrasse 34,St. Gallen,9014,"Bernhardswiesstrasse 34, 9014 St. Gallen",POINT (9.339756965637207 47.40720748901367),191548993_0
3001349858,1011.092021.866785.a3db3f97-faae-11eb-8985-005056bdbc06,rent,2021-09-30T14:31:10,,2,1400,,,,,2016,Fürstenlandstrasse 135,St. Gallen,9014,"Fürstenlandstrasse 135, 9014 St. Gallen",POINT (9.338793754577637 47.410682678222656),191122951_0
3001339504,0535,rent,2021-09-30T14:31:10,,GF,1420,,,,90,2020,Hechtackerstrasse 12g,St. Gallen,9014,"Hechtackerstrasse 12g, 9014 St. Gallen",POINT (9.340051651000977 47.407615661621094),191548985_0
3001252596,5690.05.2001,rent,2021-09-30T14:31:10,,2,1430,,,,80,2003,Haggenstr. 58,St. Gallen,9014,"Haggenstr. 58, 9014 St. Gallen",POINT (9.337691307067871 47.40603256225586),160006252_0
3001044707,53013.01.0116,rent,2021-09-30T14:31:10,,1,1640,220,1420,,95,1997,Kublystrasse 22 - 23a,St. Gallen,9016,"Kublystrasse 22 - 23a, 9016 St. Gallen",,
3001321244,7797.05.0101,rent,2021-09-30T14:31:10,,1,1635,280,1355,,90,1968,Oberzilstrasse 6,St. Gallen,9016,"Oberzilstrasse 6, 9016 St. Gallen",POINT (9.408547401428223 47.441253662109375),1077119_0
3001091170,07439.01.0050,rent,2021-09-30T14:31:10,,1,1620,240,1380,,99,1981,Tablatstr. 12,St. Gallen,9016,"Tablatstr. 12, 9016 St. Gallen",POINT (9.420480728149414 47.43769073486328),1076853_0
3001152558,54427.01.0101,rent,2021-09-30T14:31:10,,1,1600,200,1400,,80,1985,Rorschacher Strasse 277a,St. Gallen,9016,"Rorschacher Strasse 277a, 9016 St. Gallen",POINT (9.411584854125977 47.44144821166992),2363823_3
3001312809,5416.12.0041,rent,2021-09-30T14:31:10,,1,1290,,,,94,1967,Zilstrasse 56,St. Gallen,9016,"Zilstrasse 56, 9016 St. Gallen",POINT (9.408631324768066 47.44368362426758),1077106_0
3001334114,8904.21.0103,rent,2021-09-30T14:31:10,,1,1575,240,1335,,93,1995,Zilweg 15,St. Gallen,9016,"Zilweg 15, 9016 St. Gallen",POINT (9.409006118774414 47.442710876464844),2364202_0
3001353761,6170.01.0005,rent,2021-09-30T14:31:10,,2,1420,200,1220,,76,1968,Zilstrasse 4,St. Gallen,9016,"Zilstrasse 4, 9016 St. Gallen",POINT (9.4041166305542 47.44102478027344),1076952_0
3001328999,22101.01.10002,rent,2021-09-30T14:31:10,,GF,1350,,,,77,,Schönbüelpark 12,St. Gallen,9016,"Schönbüelpark 12, 9016 St. Gallen",POINT (9.412208557128906 47.43965530395508),190425699_0
3001259959,8904.41.0102,rent,2021-09-30T14:31:10,,1,1580,265,1315,,92,1995,Brauerstrasse 81,St. Gallen,9016,"Brauerstrasse 81, 9016 St. Gallen",POINT (9.410324096679688 47.44269943237305),2363059_0
3001310133,132501.09.00206,rent,2021-09-30T14:31:11,,2,770,,,,,1965,Rappensteinweg 7,St. Gallen,9000,"Rappensteinweg 7, 9000 St. Gallen",POINT (9.402987480163574 47.43260955810547),1075766_0
3001082656,4165.4021,rent,2021-09-30T14:31:11,,2,1070,,,,83,1920,Langgasse 63,St. Gallen,9008,"Langgasse 63, 9008 St. Gallen",POINT (9.389509201049805 47.43846893310547),1075212_0
3001369750,20120.4.4062,rent,2021-09-30T14:31:11,,6,1396,170,1226,,61,1981,Tablatstrasse 10c,St. Gallen,9016,"Tablatstrasse 10c, 9016 St. Gallen",POINT (9.41964054107666 47.43726348876953),1076763_0
3001366184,unusbasic2,rent,2021-09-30T14:31:11,,,790,,,,30,2021,Brauerstrasse 21 / 23,St. Gallen,9000,"Brauerstrasse 21 / 23, 9000 St. Gallen",,
3001356526,6170.03.0036,rent,2021-09-30T14:31:11,,1,1400,200,1200,,76,1968,Zilstrasse 6,St. Gallen,9016,"Zilstrasse 6, 9016 St. Gallen",POINT (9.404608726501465 47.44083023071289),1076954_0
3001170430,132501.09.00105,rent,2021-09-30T14:31:11,,1,770,,,,,1965,Rappensteinweg 7,St. Gallen,9000,"Rappensteinweg 7, 9000 St. Gallen",POINT (9.402987480163574 47.43260955810547),1075766_0
3001233790,861550.09db43ef-ef73-11eb-83fa-005056bdbc06,rent,2021-09-30T14:31:11,,1,950,140,810,,40,,Rorschacher Strasse 183,St. Gallen,9000,"Rorschacher Strasse 183, 9000 St. Gallen",POINT (9.398592948913574 47.43296432495117),1076198_0
3001384071,6811.05.0301,rent,2021-09-30T14:31:11,,3,1440,,,,88,2020,Hechtackerstrasse 12d,St. Gallen,9014,"Hechtackerstrasse 12d, 9014 St. Gallen",POINT (9.339369773864746 47.40752410888672),191548977_0
3001362014,6172.03.0201,rent,2021-09-30T14:31:11,,2,750,,,,45,1947,Helvetiastrasse 51 A,St. Gallen,9000,"Helvetiastrasse 51 A, 9000 St. Gallen",,
