id,object_ref,category,date,flatType,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,lat,lng,wkt,gwr_egid,match_accuracy,egid,ren_potential,LR_DAY,LR_NIGHT,ES,COMM_USE_D,EXP_LIM_D,EXP_LIM_N,EXP_LIM,noise_below,quartier_nummer,quartier_kreis,quartier_quartiergr,quartier_statistisc
3001365923,1076.1005.884456.4f4a1c55-1b68-11ec-8c59-005056bdbc06,rent,2021-10-12 19:52:19,,3,1680,180.0,1500.0,,,,Torstrasse 11,St. Gallen,9000.0,47.4269561767578,9.37777614593506,POINT (9.377776145935059 47.42695617675781),,,,,,,,,,,,,,,,
3001366539,132501.03.00201,rent,2021-10-13 07:27:29,,2,1120,,,,78.0,1965.0,Flurhofstr. 149,St. Gallen,9000.0,47.4323463439941,9.40286731719971,POINT (9.402867317199707 47.43234634399414),1075741.0,0.0823529411764706,1075741.0,True,,,,,,,,True,303.0,Osten,St.Fiden,St.Fiden-Krontal
3001367439,5761.goldinger.SM92.4102,rent,2021-10-12 23:17:47,,1,1240,,,,83.0,,Iddastrasse 52,St. Gallen,9008.0,47.4397201538086,9.38997077941895,POINT (9.389970779418945 47.439720153808594),1075201.0,0.0777777777777777,1075201.0,True,,,,,,,,True,302.0,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3001367477,4188.02.0006,rent,2021-10-12 20:45:43,,2,1440,160.0,1280.0,,64.0,1920.0,Lukasstrasse 2,St. Gallen,9008.0,47.4394416809082,9.3950891494751,POINT (9.395089149475098 47.4394416809082),1075121.0,0.0153846153846153,1075121.0,False,64.0,56.0,ES III,Wohnen,">PW, ≤IGW",">IGW, <AW",">IGW, <AW",False,302.0,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3001368836,47566978,rent,2021-10-13 08:18:30,,,450,,,,,,Rorschacher Strasse 123,St. Gallen,9000.0,47.4308929443359,9.39301776885986,POINT (9.393017768859863 47.43089294433594),1076048.0,,1076048.0,False,64.0,57.0,ES III,Wohnen,">PW, ≤IGW",">IGW, <AW",">IGW, <AW",False,303.0,Osten,St.Fiden,St.Fiden-Krontal
3001369138,7yh44.vr6n4,rent,2021-10-13 07:37:00,,3,1495,100.0,1395.0,,100.0,1911.0,Rorschacher Strasse 124,St. Gallen,9000.0,47.4307746887207,9.39366340637207,POINT (9.39366340637207 47.4307746887207),1076122.0,0.0526315789473684,1076122.0,False,65.0,58.0,ES III,Wohnen,">PW, ≤IGW",">IGW, <AW",">IGW, <AW",False,303.0,Osten,St.Fiden,St.Fiden-Krontal
3001369615,5gpc9.sxsx2,rent,2021-10-12 23:28:17,,3,1900,,,,,,Duforstrasse 43,St. Gallen,9000.0,47.4318008422852,9.37730598449707,POINT (9.37730598449707 47.431800842285156),,,,,,,,,,,,,,,,
3001369684,31.70.827770.6f540b39-acd2-11eb-820b-005056bdbc06,rent,2021-10-13 09:12:43,,2,1290,220.0,1070.0,,75.0,,Torstrasse 20,St. Gallen,9000.0,47.428035736084,9.37781524658203,POINT (9.377815246582031 47.428035736083984),1072848.0,0.0,1072848.0,False,63.0,55.0,ES III,Wohnen,">PW, ≤IGW",">PW, ≤IGW",">PW, ≤IGW",False,207.0,Centrum,St.Jakob,St.Jakob
3001369750,20120.4.4062,rent,2021-10-12 19:07:44,,6,1396,170.0,1226.0,,61.0,1981.0,Tablatstrasse 10c,St. Gallen,9016.0,47.4372634887695,9.41964054107666,POINT (9.41964054107666 47.43726348876953),1076763.0,0.0,1076763.0,True,57.0,48.0,ES II,Wohnen,">PW, ≤IGW",">PW, ≤IGW",">PW, ≤IGW",False,307.0,Osten,Neudorf,Achslen-Wilen
3001369751,20120.4.4002,rent,2021-10-12 19:53:42,,GF,1290,150.0,1140.0,,61.0,1981.0,Tablatstrasse 10c,St. Gallen,9016.0,47.4372634887695,9.41964054107666,POINT (9.41964054107666 47.43726348876953),1076763.0,0.0,1076763.0,True,57.0,48.0,ES II,Wohnen,">PW, ≤IGW",">PW, ≤IGW",">PW, ≤IGW",False,307.0,Osten,Neudorf,Achslen-Wilen
3001370273,83565.01.0103,rent,2021-10-12 21:06:29,,1,840,,,,36.0,,Höhenweg 11,St. Gallen,9000.0,47.429615020752,9.3725414276123,POINT (9.372541427612305 47.42961502075195),1073085.0,0.44,1073085.0,True,,,,,,,,True,207.0,Centrum,St.Jakob,St.Jakob
3001370366,dz448.r1wg1,rent,2021-10-12 23:29:27,,3,1200,140.0,1060.0,,64.0,1963.0,St. Georgen-Strasse,St. Gallen,9011.0,47.4159774780273,9.38166332244873,POINT (9.38166332244873 47.415977478027344),,,,,,,,,,,,,,,,
3001370598,1238723,rent,2021-10-13 07:27:23,,2,1250,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,
3001370626,1057.01.130001,rent,2021-10-12 19:52:23,,,1390,,,,110.0,,Wildeggstrasse 19,St. Gallen,9000.0,47.4235343933105,9.38277435302734,POINT (9.382774353027344 47.42353439331055),1073436.0,0.0,1073436.0,False,60.0,45.0,ES II,Wohnen,">PW, ≤IGW",≤PW,">PW, ≤IGW",False,208.0,Centrum,Linsenbühl-Dreilinden,Linsenbühl-Dreilinden
3001371322,47591745,rent,2021-10-12 21:06:32,,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001371343,47595430,rent,2021-10-12 23:28:12,,,1350,,,,90.0,,Sömmerlistrasse,St. Gallen,9000.0,47.4184989929199,9.35178279876709,POINT (9.35178279876709 47.41849899291992),1070333.0,0.0588235294117647,1070333.0,False,56.0,48.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,113.0,Westen,Lachen,Vonwil-Lachen-Schoren
3001372173,rr8ed.2mkaw,rent,2021-10-12 19:52:21,,2,1660,210.0,1450.0,,84.0,1924.0,Falkensteinstrasse 72,St. Gallen,9000.0,47.4314270019531,9.39884471893311,POINT (9.398844718933105 47.431427001953125),1075875.0,0.115789473684211,1075875.0,False,,,,,,,,True,303.0,Osten,St.Fiden,St.Fiden-Krontal
3001372850,195901.01.00001,rent,2021-10-12 23:30:45,,GF,990,,,,40.0,1934.0,Winkelriedstr. 17,St. Gallen,9000.0,47.4249725341797,9.36868095397949,POINT (9.368680953979492 47.42497253417969),1071243.0,,1071243.0,False,59.0,46.0,ES II,Wohnen,">PW, ≤IGW",">PW, ≤IGW",">PW, ≤IGW",False,202.0,Centrum,Rosenberg,Rosenberg-Kreubleiche
3001373298,1238774,rent,2021-10-12 19:05:08,,3,1090,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,
3001373319,1238807,rent,2021-10-12 19:53:35,,5,970,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,
3001373441,1238958,rent,2021-10-12 23:09:55,,3,990,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001373894,"SG-Teufenerstrasse 12, 2 ZWG 3.OG-003.886548.3b6587de-1d2b-11ec-842e-005056bdbc06",rent,2021-10-12 23:17:48,,3,900,,,,,,Teufener Strasse 12,St. Gallen,9000.0,47.4205513000488,9.37094688415527,POINT (9.370946884155273 47.42055130004883),1072314.0,,1072314.0,False,61.0,48.0,ES III,Wohnen,">PW, ≤IGW",≤PW,">PW, ≤IGW",False,205.0,Centrum,Innenstadt,St.Leonhard-Ost
3001374139,47610288,rent,2021-10-12 23:28:13,,,1200,,,,,,Zimmerstrasse 9,St. Gallen,9000.0,47.4163360595703,9.36120128631592,POINT (9.361201286315918 47.41633605957031),1071802.0,,1071802.0,False,51.0,41.0,ES II,Wohnen,≤PW,≤PW,≤PW,True,203.0,Centrum,Riethüsli,Riethüsli
3001376142,1239048,rent,2021-10-12 20:14:53,,2,1130,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,
3001376210,1239156,rent,2021-10-12 23:09:52,,3,900,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,
3001377706,ede5r.tu1wf,rent,2021-10-12 20:00:03,,4,1120,,,,,,Oberstrasse 107,St. Gallen,9000.0,47.4155502319336,9.36096000671387,POINT (9.360960006713867 47.415550231933594),1069939.0,,1069939.0,False,63.0,54.0,ES III,Wohnen,">PW, ≤IGW",">PW, ≤IGW",">PW, ≤IGW",False,111.0,Westen,Bruggen,Haggen-Oberstrasse-Langweid
3001377733,SM1034.6203.887337.012d6523-1f73-11ec-842e-005056bdbc06,rent,2021-10-12 20:47:05,,3,1100,,,,63.0,,Brühlgasse 28,St. Gallen,9000.0,47.4252281188965,9.37828540802002,POINT (9.37828540802002 47.425228118896484),,,,,,,,,,,,,,,,
3001377914,3644.02.0201,rent,2021-10-13 07:27:32,,2,1530,230.0,1300.0,,90.0,1919.0,Linsebühlstrasse 14,St. Gallen,9000.0,47.4243087768555,9.38061618804932,POINT (9.380616188049316 47.42430877685547),1073521.0,0.216216216216216,1073521.0,False,66.0,55.0,ES III,Wohnen,">IGW, <AW",">PW, ≤IGW",">IGW, <AW",False,208.0,Centrum,Linsenbühl-Dreilinden,Linsenbühl-Dreilinden
3001378309,8154.01.0304,rent,2021-10-12 23:07:24,,3,1550,,,,90.0,1910.0,Kugelgasse 3,St. Gallen,9000.0,47.4257469177246,9.37753963470459,POINT (9.37753963470459 47.42574691772461),1072663.0,0.0,1072663.0,False,,,,,,,,True,206.0,Centrum,Innenstadt,Altstadt
3001378634,01139.02.0001,rent,2021-10-13 09:12:49,,1,1245,205.0,1040.0,,,1951.0,Zürcher Strasse 34,St. Gallen,9000.0,47.4194679260254,9.35426044464111,POINT (9.354260444641113 47.41946792602539),1070413.0,,1070413.0,False,66.0,58.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,113.0,Westen,Lachen,Vonwil-Lachen-Schoren
3001379181,1239223,rent,2021-10-12 19:51:03,,2,1350,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,
3001379324,12105.03.10104,rent,2021-10-12 20:45:46,,1,1700,,,,98.0,,Ullmannstrasse 23b,St. Gallen,9014.0,47.4129486083984,9.33236312866211,POINT (9.33236312866211 47.41294860839844),190526767.0,0.053763440860215,190526767.0,False,,,,,,,,True,109.0,Westen,Bruggen,Bruggen-Zürcherstrasse
3001380381,888151.59455224-203f-11ec-842e-005056bdbc06,rent,2021-10-12 20:46:54,,2,1215,,,,78.0,,Rosenbergweg 21,St. Gallen,9000.0,47.4219932556152,9.36234951019287,POINT (9.362349510192871 47.421993255615234),1071127.0,0.0,1071127.0,True,61.0,54.0,ES III,Wohnen,">PW, ≤IGW",">PW, ≤IGW",">PW, ≤IGW",False,202.0,Centrum,Rosenberg,Rosenberg-Kreubleiche
3001366182,unusgrande,rent,2021-10-12 23:30:44,,,950,,,,36.0,2021.0,Brauerstrasse 21 / 23,St. Gallen,9000.0,,,POINT(9.40157976178905 47.4352140848977),,,,,,,,,,,,,,,,
3001366184,unusbasic2,rent,2021-10-12 19:07:38,,,790,,,,30.0,2021.0,Brauerstrasse 21 / 23,St. Gallen,9000.0,,,POINT(9.40157976178905 47.4352140848977),,,,,,,,,,,,,,,,
3001366187,unusbasic,rent,2021-10-12 19:07:39,,,780,,,,23.0,2021.0,Brauerstrasse 21 / 23,St. Gallen,9000.0,,,POINT(9.40157976178905 47.4352140848977),,,,,,,,,,,,,,,,
3001371467,162.121b.ssll25im3,rent,2021-10-13 07:21:59,,3,960,,,,,,Teufenerstr. 121 b,St. Gallen,9000.0,,,POINT(9.36393410284266 47.4135531456015),,,,,,,,,,,,,,,,
3001380181,092021WhgZürcherstr,rent,2021-10-12 23:09:54,,1,1050,,,,,,Zürcherstrasse 201,St. Gallen,9014.0,,,POINT(9.33664166394338 47.4120074057626),1069984.0,,1069984.0,False,64.0,56.0,ES III,Wohnen,">PW, ≤IGW",">IGW, <AW",">IGW, <AW",False,112.0,Westen,Bruggen,Moos-Waldacker-Lerchenfeld
3001380399,888157.0b1c387c-2040-11ec-842e-005056bdbc06,rent,2021-10-13 09:12:34,,2,1350,250.0,1100.0,,67.0,,Rosenbergweg 21,St. Gallen,9000.0,47.4219932556152,9.36234951019287,POINT (9.362349510192871 47.421993255615234),1071127.0,0.0147058823529411,1071127.0,True,61.0,54.0,ES III,Wohnen,">PW, ≤IGW",">PW, ≤IGW",">PW, ≤IGW",False,202.0,Centrum,Rosenberg,Rosenberg-Kreubleiche
3001380521,Pelikanstrasse.21.10,rent,2021-10-12 20:00:00,,3,785,,,,30.0,,Pelikanstrasse 21,St. Gallen,9008.0,47.4372100830078,9.39230251312256,POINT (9.392302513122559 47.43721008300781),1075015.0,0.117647058823529,1075015.0,True,,,,,,,,True,302.0,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3001380606,888202.5160b3bc-2053-11ec-842e-005056bdbc06,rent,2021-10-12 20:12:24,,1,785,,,,42.0,,Burgstrasse 19,St. Gallen,9000.0,47.4193916320801,9.36352825164795,POINT (9.36352825164795 47.41939163208008),1071050.0,0.0666666666666667,1071050.0,True,,,,,,,,True,202.0,Centrum,Rosenberg,Rosenberg-Kreubleiche
3001380667,10057.2.1023,rent,2021-10-12 20:14:52,,2,1360,100.0,1260.0,,53.0,1930.0,Rickenstrasse 20,St. Gallen,9014.0,47.4074401855469,9.33251190185547,POINT (9.332511901855469 47.407440185546875),1069562.0,0.0192307692307692,1069562.0,False,,,,,,,,True,110.0,Westen,Bruggen,Boppartshof-Hinterberg
3001380921,1489.01.0102,rent,2021-10-12 19:53:38,,1,710,,,,35.0,1920.0,Ruhbergstrasse 48,St. Gallen,9000.0,47.4149131774902,9.36348438262939,POINT (9.363484382629395 47.414913177490234),1071634.0,0.0,1071634.0,False,,,,,,,,True,203.0,Centrum,Riethüsli,Riethüsli
3001381009,132511.01.00003,rent,2021-10-12 20:14:52,,GF,1140,,,,,1960.0,Hinterberg 42,St. Gallen,9014.0,47.4029960632324,9.32528781890869,POINT (9.325287818908691 47.40299606323242),1069190.0,,1069190.0,True,,,,,,,,True,110.0,Westen,Bruggen,Boppartshof-Hinterberg
3001381018,a1gsm.wt25n,rent,2021-10-12 20:00:05,,3,1400,,,,,,Buchentalstrasse 26,St. Gallen,9000.0,47.4349708557129,9.39626026153564,POINT (9.396260261535645 47.43497085571289),1076318.0,,1076318.0,False,64.0,56.0,ES III,Wohnen,">PW, ≤IGW",">IGW, <AW",">IGW, <AW",False,303.0,Osten,St.Fiden,St.Fiden-Krontal
3001381315,23030.03.420020,rent,2021-10-12 20:45:39,,2,1350,150.0,1200.0,,70.0,1976.0,Sonnrainweg 14,St. Gallen,9008.0,47.4475479125977,9.39769744873047,POINT (9.397697448730469 47.447547912597656),1075529.0,0.125,1075529.0,True,51.0,42.0,ES II,Wohnen,≤PW,≤PW,≤PW,True,302.0,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3001381706,5690.04.1003,rent,2021-10-12 19:07:48,,1,1420,,,,80.0,2003.0,Haggenstr. 60,St. Gallen,9014.0,47.4058570861816,9.33782958984375,POINT (9.33782958984375 47.40585708618164),,,,,,,,,,,,,,,,
3001382190,Axensteinstrasse192OG,rent,2021-10-12 19:52:22,,,1500,,,,,,Axensteinstr. 19,St. Gallen,9000.0,47.4257698059082,9.38652610778809,POINT (9.386526107788086 47.4257698059082),1073631.0,,1073631.0,False,,,,,,,,True,208.0,Centrum,Linsenbühl-Dreilinden,Linsenbühl-Dreilinden
3001382303,47688267,rent,2021-10-12 19:38:38,,,1730,,,,135.0,,Kesselhaldenstrasse 6,St. Gallen,9016.0,47.4384689331055,9.40322494506836,POINT (9.40322494506836 47.43846893310547),1076912.0,0.457831325301205,1076912.0,False,60.0,48.0,ES II,Wohnen,">PW, ≤IGW",">PW, ≤IGW",">PW, ≤IGW",False,308.0,Osten,Neudorf,Stephanshorn-Zil-Kesselhalden
3001382682,A97F43Z_22QA45W,rent,2021-10-13 08:18:26,,,2450,350.0,2100.0,,100.0,2020.0,St Georgen Str. 20,St. Gallen,9000.0,47.4228096008301,9.38051223754883,POINT (9.380512237548828 47.42280960083008),1073463.0,0.428571428571429,1073463.0,False,60.0,46.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,208.0,Centrum,Linsenbühl-Dreilinden,Linsenbühl-Dreilinden
