id,object_ref,category,date,flatType,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,lat,lng,wkt,gwr_egid,match_accuracy
3001207526,1740.4032,rent,2021-10-13T09:12:33,,3,1350,250,1100,,70,1950,Burgstrasse 85,St. Gallen,9000,47.4163856506348,9.35553169250488,POINT (9.355531692504883 47.416385650634766),1070203,0.0277777777777778
3001208239,857415.66bc47ff-e588-11eb-9c8e-005056bdbc06,rent,2021-10-13T08:39:53,,3,1140,150,990,,,,Martinsbruggstrasse 45,St. Gallen,9016,47.436580657959,9.41221714019775,POINT (9.412217140197754 47.436580657958984),1076673,
3001209766,050-07.07.830758.b9c75053-b227-11eb-820b-005056bdbc06,rent,2021-10-12T20:00:06,,4,1850,,,,101,2000,Oberer Graben 37,St. Gallen,9000,47.4225959777832,9.37484836578369,POINT (9.374848365783691 47.4225959777832),2363693,0.0
3001214688,999940.02.00102,rent,2021-10-13T07:28:43,,1,1530,,,,82,2009,Waldaustr. 8,St. Gallen,9000,47.4199867248535,9.35248279571533,POINT (9.352482795715332 47.419986724853516),190426028,0.171717171717172
3001216894,5ygng.kmrbq,rent,2021-10-12T20:47:06,,2,1320,220,1100,,97,,Vonwilstrasse 25,St. Gallen,9000,47.4177055358887,9.35837364196777,POINT (9.358373641967773 47.41770553588867),1070225,
3001219305,859212.e6807ac3-e9ff-11eb-9c8e-005056bdbc06,rent,2021-10-12T19:38:35,,5,995,140,855,,42,,Burgstrasse 21,St. Gallen,9000,47.4193382263184,9.36314487457275,POINT (9.363144874572754 47.41933822631836),1071051,0.0666666666666667
3001221053,859518.b5ee3428-ea23-11eb-9c8e-005056bdbc06,rent,2021-10-12T23:30:43,,1,910,,,,,,Röschstrasse 9,St. Gallen,9000,47.4322547912598,9.39995670318604,POINT (9.399956703186035 47.432254791259766),1075808,
3001221054,..58.1.1.680484.6489d40b-b08b-11ea-97df-005056bdbc06,rent,2021-10-12T19:53:39,,1,690,,,,,,Falkensteinstrasse 85,St. Gallen,9000,47.4323844909668,9.40019798278809,POINT (9.400197982788086 47.4323844909668),1075839,
3001222100,SM1034.2202.859675.7f770201-eaef-11eb-9c8e-005056bdbc06,rent,2021-10-13T07:19:28,,4,1950,,,,,,Spisergasse 15,St. Gallen,9000,47.424877166748,9.37773323059082,POINT (9.37773323059082 47.42487716674805),1072615,
3001222317,16483.03.0301,rent,2021-10-13T07:20:39,,3,1300,,,,,,Im Grund 14c,St. Gallen,9012,47.4100570678711,9.36431980133057,POINT (9.364319801330566 47.410057067871094),1071447,
3001402303,46571733,rent,2021-10-12T23:28:13,,,1280,,,,,,St.Gallen Umgebung,St. Gallen,9000,,,,,
3001198020,5420.4041,rent,2021-10-12T19:06:31,,,1900,,,,125,1937,Paradiesstrasse 36 (BK),St. Gallen,9000,,,POINT(9.36110395932928 47.4173969313336),1071001,0.275510204081633
3001206762,1071.189.1104.857170.7f0c4935-e55d-11eb-9c8e-005056bdbc06,rent,2021-10-12T20:47:05,,1,1230,,,,56,,Rorschacherstrasse 216,St. Gallen,9000,,,POINT(9.40202001032813 47.4345678286903),,
3001207527,7145.3501,rent,2021-10-12T23:29:26,,GF,1420,,,,65,2018,St. Georgenstrasse 159,St. Gallen,9011,,,POINT(9.39104272688362 47.4147356928072),191606857,0.0151515151515151
3001215110,632.uze.4100-2033,rent,2021-10-13T09:12:37,,3,1280,180,1100,,63,,Teufenerstrasse 95,St. Gallen,9000,,,POINT(9.36481002310679 47.4150500166327),1071628,0.0307692307692308
3001222337,00761.01.0009,rent,2021-10-12T20:47:01,,3,1355,225,1130,,65,1962,Oberstrasse 201,St. Gallen,9000,47.4123687744141,9.35126495361328,POINT (9.351264953613281 47.41236877441406),1069928,0.1875
3001222348,00761.03.0004,rent,2021-10-12T20:47:03,,1,1375,245,1130,,65,1962,Oberstrasse 205,St. Gallen,9000,47.4121780395508,9.35199928283691,POINT (9.351999282836914 47.41217803955078),1069739,0.1875
3001222804,1208.01.0201,rent,2021-10-13T07:27:33,,2,1520,260,1260,,89,1956,Wiesentalstr. 26,St. Gallen,9000,47.433349609375,9.3979549407959,POINT (9.397954940795898 47.433349609375),1076192,0.0
3001223462,351.7107.860013.4426e5d5-eb7b-11eb-9c8e-005056bdbc06,rent,2021-10-12T19:06:24,,1,1830,350,1480,,100,1995,Grüningerweg 8,St. Gallen,9000,47.4151077270508,9.35429286956787,POINT (9.354292869567871 47.41510772705078),2364601,
3001223803,2832.4552,rent,2021-10-12T19:52:23,,5,1410,,,,110,1900,Grenzstrasse 2,St. Gallen,9000,47.4178924560547,9.35950660705566,POINT (9.359506607055664 47.41789245605469),1070170,0.0
3001224338,8612.04.0328,rent,2021-10-12T19:09:01,,2,1010,135,875,,50,1974,Hardungstrasse 63a,St. Gallen,9011,47.4254302978516,9.40409088134766,POINT (9.404090881347656 47.42543029785156),1076404,0.0
3001225087,10165.01.0001,rent,2021-10-13T07:37:04,,GF,1400,,,,67,2006,Turnerstrasse 32,St. Gallen,9000,47.4180221557617,9.35484027862549,POINT (9.354840278625488 47.41802215576172),190192738,0.106666666666667
3001226202,03159.01.0121,rent,2021-10-12T20:48:13,,2,1590,200,1390,,66,1920,Goliathgasse 37,St. Gallen,9000,47.4279747009277,9.37712287902832,POINT (9.37712287902832 47.427974700927734),1072768,0.153846153846154
