id,object_ref,category,date,flatType,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,lat,lng,wkt,gwr_egid,match_accuracy,price_per_sqm,price_per_room,flat_cat,cat,egid,ren_potential,LR_DAY,LR_NIGHT,ES,COMM_USE_D,EXP_LIM_D,EXP_LIM_N,EXP_LIM,noise_below,quartier_nummer,quartier_kreis,quartier_quartiergr,quartier_statistisc
3001529390,4i12w.de482,rent,2021-12-05 14:51:10,,GF,2080,,,,74,,Langgasse 19,St. Gallen,9008,47.4352989196777,9.38554954528809,POINT (9.385549545288086 47.435298919677734),1075237,0.26,28.10810810810811,416.0,L,c,1075237,False,65.0,58.0,ES III,Wohnen,">PW, ≤IGW",">IGW, <AW",">IGW, <AW",False,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3001529563,d4wsj.gfgul,rent,2021-12-05 22:25:41,,,1540,,,,46,,Moosbruggstrasse 5,St. Gallen,9000,47.4236755371094,9.37952136993408,POINT (9.379521369934082 47.423675537109375),1073470,0.386666666666667,33.47826086956522,513.3333333333334,M,d,1073470,False,57.0,43.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,208,Centrum,Linsenbühl-Dreilinden,Linsenbühl-Dreilinden
3001530470,932049.a000900000KptfXAAR,rent,2021-12-06 09:26:28,,3,1820,,,,63,,Gerbeweg 1,St. Gallen,9000,47.4210968017578,9.35379028320312,POINT (9.353790283203125 47.42109680175781),1070400,0.0454545454545454,28.88888888888889,606.6666666666666,M,e,1070400,True,,,,,,,,True,113,Westen,Lachen,Vonwil-Lachen-Schoren
3001531214,Y35Y,rent,2021-12-06 09:26:31,,1,1820,,,,67,,Hagenbuchstrasse 16,St. Gallen,9000,47.430835723877,9.3983907699585,POINT (9.398390769958496 47.43083572387695),1075946,0.33,27.16417910447761,455.0,M,d,1075946,False,,,,,,,,True,303,Osten,St.Fiden,St.Fiden-Krontal
3001530401,919653.a000900000Kn448AAB,rent,2021-12-06 09:25:56,,2,1770,,,,64,,Rosenfeldstrasse 7,St. Gallen,9008,,,POINT(9.3851836993069 47.4339349039222),1074742,0.507692307692308,27.65625,354.0,L,c,1074742,False,57.0,50.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3001531473,07930.01.0012,rent,2021-12-06 11:26:24,,4,1780,,,,65,1956.0,Wiesentalstr. 12,St. Gallen,9000,47.4329223632812,9.39637470245361,POINT (9.396374702453613 47.43292236328125),1076155,0.0845070422535211,27.384615384615383,593.3333333333334,M,d,1076155,False,,,,,,,,True,303,Osten,St.Fiden,St.Fiden-Krontal
3001531699,963304.02.00002,rent,2021-12-06 12:51:12,,GF,1550,,,,54,1970.0,Zürcher Str. 104a,St. Gallen,9000,47.4166603088379,9.34597587585449,POINT (9.345975875854492 47.41666030883789),1070063,0.205882352941177,28.703703703703702,387.5,M,c,1070063,False,54.0,47.0,ES II,Wohnen,≤PW,">PW, ≤IGW",">PW, ≤IGW",False,112,Westen,Bruggen,Moos-Waldacker-Lerchenfeld
3001531697,116001.02.00305,rent,2021-12-06 12:51:24,,3,1860,,,,72,1968.0,Zschokkestr. 18,St. Gallen,9000,47.4160919189453,9.35773181915283,POINT (9.357731819152832 47.41609191894531),1070156,0.0285714285714285,25.833333333333332,620.0,M,e,1070156,True,,,,,,,,True,113,Westen,Lachen,Vonwil-Lachen-Schoren
3001531712,z8p0u.xhxoq,rent,2021-12-06 12:51:34,,2,2180,,,,62,2021.0,Ahornstrasse 21,St. Gallen,9000,47.4141235351562,9.34574317932129,POINT (9.345743179321289 47.41412353515625),191823734,0.0158730158730159,35.16129032258065,1090.0,S,f,191823734,False,,,,,,,,True,112,Westen,Bruggen,Moos-Waldacker-Lerchenfeld
3001531752,08060.01.0108,rent,2021-12-06 13:26:24,,2,1830,,,,46,1920.0,Otmarstrasse 21,St. Gallen,9000,47.4168891906738,9.3568868637085,POINT (9.356886863708496 47.41688919067383),1070183,0.0952380952380953,39.78260869565217,610.0,M,e,1070183,False,60.0,48.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,113,Westen,Lachen,Vonwil-Lachen-Schoren
3001532125,(6810776),rent,2021-12-06 16:26:23,,1,1760,,,,46,,Glaserstrasse 3A,St. Gallen,9000,47.4188766479492,9.35424995422363,POINT (9.354249954223633 47.41887664794922),1070264,0.233333333333333,38.26086956521739,880.0,S,f,1070264,False,52.0,43.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,113,Westen,Lachen,Vonwil-Lachen-Schoren
3001532459,00754.01.0010,rent,2021-12-06 16:50:48,,3,1760,,,,55,1968.0,Altmannstrasse 16,St. Gallen,9012,47.413272857666,9.36429595947266,POINT (9.364295959472656 47.413272857666016),1071594,0.0576923076923077,32.0,880.0,S,f,1071594,True,57.0,49.0,ES II,Wohnen,">PW, ≤IGW",">PW, ≤IGW",">PW, ≤IGW",False,203,Centrum,Riethüsli,Riethüsli
3001532463,00761.04.0004,rent,2021-12-06 16:51:22,,1,1800,,,,54,1962.0,Oberstrasse 207,St. Gallen,9000,47.412036895752,9.35162544250488,POINT (9.351625442504883 47.41203689575195),1069740,0.2,33.333333333333336,900.0,S,f,1069740,True,,,,,,,,True,111,Westen,Bruggen,Haggen-Oberstrasse-Langweid
3001532515,10198.04.0801,rent,2021-12-06 17:26:04,,8,2550,,,,130,2012.0,Zweibruggenmühlestrasse 13,St. Gallen,9014,47.406867980957,9.32789421081543,POINT (9.32789421081543 47.40686798095703),190608317,0.274509803921569,19.615384615384617,637.5,M,e,190608317,False,,,,,,,,True,109,Westen,Bruggen,Bruggen-Zürcherstrasse
3001532869,932049.a000900000KptfXAAR,rent,2021-12-06 18:26:28,,3,1830,,,,66,,Gerbeweg 1,St. Gallen,9000,47.4210968017578,9.35379028320312,POINT (9.353790283203125 47.42109680175781),1070400,0.0,27.727272727272727,610.0,M,e,1070400,True,,,,,,,,True,113,Westen,Lachen,Vonwil-Lachen-Schoren
3001532771,919653.a000900000Kn448AAB,rent,2021-12-06 18:26:00,,2,1780,,,,67,,Rosenfeldstrasse 7,St. Gallen,9008,,,POINT(9.3851836993069 47.4339349039222),1074742,0.484615384615385,26.567164179104477,356.0,L,c,1074742,False,57.0,50.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3001533115,20120.5.5021,rent,2021-12-06 22:26:10,,2,2290,,,,75,1981.0,Tablatstrasse 10d,St. Gallen,9016,47.437126159668,9.41969966888428,POINT (9.419699668884277 47.43712615966797),1076852,0.175824175824176,30.533333333333335,572.5,M,d,1076852,True,61.0,52.0,ES II,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,307,Osten,Neudorf,Achslen-Wilen
3001533116,20165.3.3012,rent,2021-12-06 22:26:16,,1,2390,,,,140,2003.0,Kauffmannstrasse 10,St. Gallen,9008,47.442440032959,9.39154720306396,POINT (9.391547203063965 47.442440032958984),160006248,0.166666666666667,17.071428571428573,597.5,M,d,160006248,False,,,,,,,,True,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3001563071,KIM.KIM.KIM,rent,2022-01-18 17:07:54,,2,2220,,,,120,,Fürstenlandstrasse 19,St. Gallen,9000,47.4148483276367,9.35318183898926,POINT (9.353181838989258 47.41484832763672),1070115,0.333333333333333,18.5,555.0,M,d,1070115,False,58.0,47.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,112,Westen,Bruggen,Moos-Waldacker-Lerchenfeld
3001622984,tkujj.uynpn,rent,2022-01-18 17:07:55,,1,1700,,,,85,,Engelgasse 18,St. Gallen,9000,47.4267692565918,9.3746452331543,POINT (9.374645233154297 47.4267692565918),1072715,0.15,20.0,425.0,M,c,1072715,False,,,,,,,,True,206,Centrum,Innenstadt,Altstadt
3001621139,7up4d.fylci,rent,2022-01-18 17:07:59,,2,1740,,,,40,1920.0,Waldaustr. 6,St. Gallen,9000,47.4201927185059,9.35269355773926,POINT (9.352693557739258 47.42019271850586),1070383,0.555555555555556,43.5,435.0,M,c,1070383,False,,,,,,,,True,113,Westen,Lachen,Vonwil-Lachen-Schoren
3001544698,4plp1.oxn14,rent,2022-01-18 17:08:04,,2,1090,130.0,960.0,,42,1988.0,Zwinglistrasse 6,St. Gallen,9000,47.4267311096191,9.37229919433594,POINT (9.372299194335938 47.42673110961914),1071303,0.0,25.952380952380953,1090.0,S,f,1071303,True,53.0,44.0,ES II,Wohnen,≤PW,≤PW,≤PW,True,202,Centrum,Rosenberg,Rosenberg-Kreubleiche
3001570961,952250.01.00303,rent,2022-01-18 17:08:09,,3,500,110.0,390.0,,22,1967.0,Glockengasse 4,St. Gallen,9000,47.4250297546387,9.37902927398682,POINT (9.379029273986816 47.42502975463867),1072610,0.0476190476190477,22.727272727272727,500.0,S,d,1072610,False,54.0,46.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,206,Centrum,Innenstadt,Altstadt
3001619446,9wt1v.d0p6m,rent,2022-01-18 17:08:36,,1,2520,,,,90,1910.0,Berneggstrasse 37,St. Gallen,9000,47.4197235107422,9.37464618682861,POINT (9.374646186828613 47.41972351074219),1072154,0.285714285714286,28.0,840.0,M,f,1072154,False,57.0,44.0,ES II,Wohnen,">PW, ≤IGW",≤PW,">PW, ≤IGW",False,204,Centrum,St.Georgen,St.Georgen-Bernegg
3001536831,1058.01.1032 (6803486),rent,2022-01-18 17:08:45,,3,1270,,,,71,,Kolumbanstrasse 47,St. Gallen,9008,47.4394798278809,9.39236450195312,POINT (9.392364501953125 47.43947982788086),1075030,0.0,17.887323943661972,423.3333333333333,M,c,1075030,False,52.0,45.0,ES II,Wohnen,≤PW,≤PW,≤PW,True,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3001621404,010335.797235.dcc7a708-7aa4-11eb-8e73-005056bdbc06,rent,2022-01-18 17:08:54,,3,890,80.0,810.0,,31,2021.0,Espenmoosstrasse 1,St. Gallen,9008,47.4404525756836,9.39453315734863,POINT (9.394533157348633 47.440452575683594),2363166,0.0689655172413792,28.70967741935484,890.0,S,f,2363166,True,65.0,46.0,ES III,Arbeiten,≤PW,≤PW,≤PW,True,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3001621121,902,rent,2022-01-18 17:09:03,,GF,610,75.0,535.0,,27,,Lettenstrasse 2,St. Gallen,9008,47.4396629333496,9.39634799957275,POINT (9.396347999572754 47.43966293334961),1075101,0.0357142857142857,22.59259259259259,610.0,S,e,1075101,False,55.0,47.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3001619662,8613.01.0311,rent,2022-01-18 17:09:18,,1,1995,290.0,1705.0,,113,1963.0,Sonnenhaldenstrasse 64,St. Gallen,9010,47.4397735595703,9.38191032409668,POINT (9.38191032409668 47.43977355957031),1074363,0.0,17.654867256637168,498.75,M,d,1074363,True,59.0,44.0,ES II,Wohnen,">PW, ≤IGW",≤PW,">PW, ≤IGW",False,301,Osten,Rotmonten,Rotmonten
