name,score,description,category,label,_geom
4tOOwNrCeTtjjOSUYSEGjQ,20.564094054567345,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/4tOOwNrCeTtjjOSUYSEGjQ""><img style=""width:200px"" src=""https://images.mapillary.com/4tOOwNrCeTtjjOSUYSEGjQ/thumb-320.jpg""></a><br>Streetwise Score: 20.564094054567345",2,0,POINT (9.3679246 47.4214403)
tUQ_JID_SneGxGPRNSl0Ig,30.227149886878635,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/tUQ_JID_SneGxGPRNSl0Ig""><img style=""width:200px"" src=""https://images.mapillary.com/tUQ_JID_SneGxGPRNSl0Ig/thumb-320.jpg""></a><br>Streetwise Score: 30.227149886878635",3,+,POINT (9.3676484 47.4213125)
X0sFHM_3cE_q9-shPBTUZQ,27.23260312473234,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/X0sFHM_3cE_q9-shPBTUZQ""><img style=""width:200px"" src=""https://images.mapillary.com/X0sFHM_3cE_q9-shPBTUZQ/thumb-320.jpg""></a><br>Streetwise Score: 27.23260312473234",2,0,POINT (9.3673065 47.4211457)
nzBBrK5FoCamFrBbU9HXtQ,33.12103870645281,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/nzBBrK5FoCamFrBbU9HXtQ""><img style=""width:200px"" src=""https://images.mapillary.com/nzBBrK5FoCamFrBbU9HXtQ/thumb-320.jpg""></a><br>Streetwise Score: 33.12103870645281",3,+,POINT (9.3669911 47.4209469)
zT-yUrlZ8UwpcsbMNqeWYQ,32.393497012869396,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/zT-yUrlZ8UwpcsbMNqeWYQ""><img style=""width:200px"" src=""https://images.mapillary.com/zT-yUrlZ8UwpcsbMNqeWYQ/thumb-320.jpg""></a><br>Streetwise Score: 32.393497012869396",3,+,POINT (9.366728999999999 47.4207215)
MIg0ZXzJFZpSQzBk5ihQMg,31.05498939849882,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/MIg0ZXzJFZpSQzBk5ihQMg""><img style=""width:200px"" src=""https://images.mapillary.com/MIg0ZXzJFZpSQzBk5ihQMg/thumb-320.jpg""></a><br>Streetwise Score: 31.05498939849882",3,+,POINT (9.3664893 47.4205211)
NvW1ClQ3LRnU3ML0WHlkmA,28.65877463678126,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/NvW1ClQ3LRnU3ML0WHlkmA""><img style=""width:200px"" src=""https://images.mapillary.com/NvW1ClQ3LRnU3ML0WHlkmA/thumb-320.jpg""></a><br>Streetwise Score: 28.65877463678126",2,0,POINT (9.365823799999999 47.4200122)
uUamp0BKIUMAjMEsbpiqmQ,39.4542424138347,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/uUamp0BKIUMAjMEsbpiqmQ""><img style=""width:200px"" src=""https://images.mapillary.com/uUamp0BKIUMAjMEsbpiqmQ/thumb-320.jpg""></a><br>Streetwise Score: 39.4542424138347",0,wahrgenommene Sicherheit tief,POINT (9.3655896 47.4198481)
ED_RPG37F4r1Vgh5-rpQsw,34.31190078737783,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/ED_RPG37F4r1Vgh5-rpQsw""><img style=""width:200px"" src=""https://images.mapillary.com/ED_RPG37F4r1Vgh5-rpQsw/thumb-320.jpg""></a><br>Streetwise Score: 34.31190078737783",3,+,POINT (9.3658372 47.4190799)
lpgarXiEGe0V-QH5p_3gJQ,39.34138712667119,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/lpgarXiEGe0V-QH5p_3gJQ""><img style=""width:200px"" src=""https://images.mapillary.com/lpgarXiEGe0V-QH5p_3gJQ/thumb-320.jpg""></a><br>Streetwise Score: 39.34138712667119",0,wahrgenommene Sicherheit tief,POINT (9.369243600000001 47.4222903)
vwDyoUIbeau3BWBVzyH0lw,20.528813777856517,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/vwDyoUIbeau3BWBVzyH0lw""><img style=""width:200px"" src=""https://images.mapillary.com/vwDyoUIbeau3BWBVzyH0lw/thumb-320.jpg""></a><br>Streetwise Score: 20.528813777856517",2,0,POINT (9.369248900000001 47.4222791)
ysuHJOkE9inO-EI72jJnjA,27.81168933207453,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/ysuHJOkE9inO-EI72jJnjA""><img style=""width:200px"" src=""https://images.mapillary.com/ysuHJOkE9inO-EI72jJnjA/thumb-320.jpg""></a><br>Streetwise Score: 27.81168933207453",2,0,POINT (9.369252899999999 47.4222791)
_GRcNR4_WY3IuhUdVkHPOw,36.467927609188784,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/_GRcNR4_WY3IuhUdVkHPOw""><img style=""width:200px"" src=""https://images.mapillary.com/_GRcNR4_WY3IuhUdVkHPOw/thumb-320.jpg""></a><br>Streetwise Score: 36.467927609188784",3,+,POINT (9.369146600000001 47.4223733)
MbpsqkrKp1ljvVi4Nb1feQ,26.708782183427793,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/MbpsqkrKp1ljvVi4Nb1feQ""><img style=""width:200px"" src=""https://images.mapillary.com/MbpsqkrKp1ljvVi4Nb1feQ/thumb-320.jpg""></a><br>Streetwise Score: 26.708782183427793",2,0,POINT (9.3927839 47.4347911)
CLbqmXtgQ5-_hl4hJvJL6Q,7.503744268883843,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/CLbqmXtgQ5-_hl4hJvJL6Q""><img style=""width:200px"" src=""https://images.mapillary.com/CLbqmXtgQ5-_hl4hJvJL6Q/thumb-320.jpg""></a><br>Streetwise Score: 7.503744268883843",0,wahrgenommene Sicherheit tief,POINT (9.370271000000001 47.4227895)
